App	Category	Rating	Reviews	Size	Installs	Type	Price	Content Rating	Genres	Last Updated	Current Ver	Android Ver
EG SIM CARD (EGSIMCARD,      )	BUSINESS	2.9	322	1.5M	50,000+	Free	0	Everyone	Business	March 28, 2017	2.13	2.2 and up
EG-Boost	BUSINESS	4.1	25	2.4M	1,000+	Free	0	Everyone	Business	November 27, 2017	7.0	2.3.3 and up
EG Mantenimiento	BUSINESS		1	25M	50+	Free	0	Teen	Business	May 30, 2018	0.0.3	4.1 and up
EG CrossPad - ASPECT4	BUSINESS		4	30M	1,000+	Free	0	Everyone	Business	July 3, 2018	1.6.07	4.1 and up
EG CrossPad	BUSINESS		3	Varies with device	1,000+	Free	0	Everyone	Business	December 19, 2016	Varies with device	Varies with device
EG Player	FAMILY		1	13M	100+	Free	0	Everyone	Entertainment	December 20, 2017	Final	4.0 and up
Bee Mobile EG	FINANCE	4.2	883	6.5M	100,000+	Free	0	Everyone	Finance	May 5, 2018	3.1.9	4.0 and up
EG	PRODUCTIVITY		3	4.4M	100+	Free	0	Everyone	Productivity	July 1, 2016	4.2	4.0.3 and up
E.G. Chess	GAME	4.3	56	23M	1,000+	Paid	$0.99	Everyone	Board	December 6, 2014	1.0.28	2.3 and up
EG SIM CARD (EGSIMCARD)	TRAVEL_AND_LOCAL	4.4	105	5.0M	10,000+	Free	0	Everyone	Travel & Local	May 2, 2018	2.5	2.3 and up
EG Retail	BUSINESS	2.4	29	16M	500+	Free	0	Everyone	Business	July 5, 2018	2.2.1335	4.1 and up
EG Movi	TOOLS	4.2	40	7.4M	1,000+	Free	0	Everyone	Tools	May 12, 2017	0.9.1	3.2 and up
EG Groups	EVENTS		0	1.1M	10+	Free	0	Everyone	Events	October 15, 2017	1.0.0	4.0 and up
EG Way Life	SOCIAL		0	1.1M	50+	Free	0	Everyone	Social	April 27, 2016	1.0	4.1 and up
EG Tax Service	FINANCE		1	38M	100+	Free	0	Everyone	Finance	April 23, 2018	1.0.0	4.1 and up
Energenie EG-PM1W Setup Wizard	TOOLS	3.1	17	523k	1,000+	Free	0	Everyone	Tools	October 10, 2014	1.8 (2014-10-10 11:10:51 +0400)	2.2 and up
qEG APP / Qu mica EG SRL	TOOLS		0	118k	10+	Free	0	Everyone	Tools	July 24, 2018	1.0	4.0 and up
EG Classroom Decimals 	FAMILY	3.0	2	18M	50+	Paid	$2.99	Everyone	Education;Education	June 12, 2017	2.2.2	2.2 and up
EGW Writings 2	BOOKS_AND_REFERENCE	4.7	6547	16M	100,000+	Free	0	Everyone	Books & Reference	December 8, 2017	4.0.3	4.0.3 and up
Alipay	FINANCE	3.4	42497	61M	1,000,000+	Free	0	Teen	Finance	July 2, 2018	10.1.28.560	4.3 and up
EG | Explore Folegandros	TRAVEL_AND_LOCAL		0	56M	0+	Paid	$3.99	Everyone	Travel & Local	January 22, 2017	1.1.1	4.1 and up
EGW Writings	BOOKS_AND_REFERENCE	4.7	24278	3.1M	1,000,000+	Free	0	Everyone	Books & Reference	December 27, 2017	2.1.2	2.2 and up
Bible with EGW Comments	BOOKS_AND_REFERENCE	4.7	3776	12M	100,000+	Free	0	Everyone	Books & Reference	February 7, 2018	2.12.0	4.1 and up
Eg Call	COMMUNICATION	4.2	91	6.0M	10,000+	Free	0	Everyone	Communication	February 26, 2017	3.8.6	2.2 and up
EG India	LIFESTYLE	5.0	3	4.0M	100+	Free	0	Everyone	Lifestyle	July 29, 2018	1.1.3	4.0.3 and up
Fashion Pony Girls Dress Up Makeup Game	FAMILY	4.5	256	30M	10,000+	Free	0	Everyone	Simulation	July 13, 2018	1.7	4.0 and up
My Little Pony Celebration	FAMILY	4.3	63192	17M	1,000,000+	Free	0	Everyone	Simulation;Pretend Play	July 22, 2016	1.0.0	2.3 and up
My Little Pony AR Guide	BOOKS_AND_REFERENCE	3.3	7993	51M	1,000,000+	Free	0	Everyone	Books & Reference	November 3, 2017	1.0.6	4.0 and up
MY LITTLE PONY: Magic Princess	FAMILY	4.4	1309728	Varies with device	50,000,000+	Free	0	Everyone	Casual	July 11, 2018	Varies with device	Varies with device
Equestria Girl Snapchat Addict	FAMILY		20	31M	1,000+	Free	0	Everyone	Educational	April 19, 2018	1.0.0	4.0 and up
L.A. Crime Stories 2 Mad City Crime	GAME	4.2	3946	42M	100,000+	Free	0	Teen	Racing	March 30, 2017	1.04	2.3 and up
LA Stories 4 New Order Sandbox 2018	GAME	4.2	17453	99M	1,000,000+	Free	0	Mature 17+	Racing	June 1, 2018	1.06	2.3 and up
SDA Sabbath School Quarterly	BOOKS_AND_REFERENCE	4.7	14773	6.4M	500,000+	Free	0	Everyone	Books & Reference	October 9, 2017	4.1.92	3.0 and up
Sirens Fashion Style Game	FAMILY	4.3	2282	22M	500,000+	Free	0	Everyone	Simulation	February 20, 2018	1.0	4.0 and up
Equestria Amino for MLP	SOCIAL	4.8	8369	63M	50,000+	Free	0	Teen	Social	July 13, 2018	1.8.19106	4.0.3 and up
Propertyfinder	LIFESTYLE	4.2	1506	11M	100,000+	Free	0	Everyone	Lifestyle	August 7, 2018	6.5.2	4.4 and up
L.A. Crime Stories Mad City Crime	GAME	4.0	30008	99M	1,000,000+	Free	0	Mature 17+	Racing	March 30, 2017	1.26	2.3 and up
My Little Pony: Story Creator	FAMILY	4.2	11002	21M	1,000,000+	Free	0	Everyone	Education;Action & Adventure	May 11, 2017	1.0	4.0.3 and up
Pocket Little Pony	FAMILY	4.1	47576	14M	1,000,000+	Free	0	Everyone 10+	Simulation	March 1, 2017	1.95	4.0 and up
Dance Magic Fashion Style Games	FAMILY	4.6	2533	46M	100,000+	Free	0	Everyone	Simulation	February 27, 2018	1.0	4.0 and up
Inventory & Barcode scanner & WIFI scanner	PRODUCTIVITY	4.6	1880	18M	50,000+	Paid	$1.49	Everyone	Productivity	July 1, 2018	6.08	4.3 and up
MLP Colouring Adventures	FAMILY	3.8	7379	61M	1,000,000+	Free	0	Everyone	Entertainment	March 28, 2017	1.0	4.4 and up
Miraculous Ladybug & Cat Noir - The Official Game	GAME	4.5	185382	99M	10,000,000+	Free	0	Everyone	Action	July 30, 2018	1.0.6	4.4 and up
Fashion Girls Dress up Makeup	FAMILY	4.4	115	31M	10,000+	Free	0	Everyone	Simulation	July 13, 2018	1.0	4.0 and up
My Little Pony: Harmony Quest	FAMILY	4.1	148405	26M	10,000,000+	Free	0	Everyone	Casual;Action & Adventure	March 5, 2018	1.6	4.1 and up
Home Pony 2	FAMILY	4.0	20977	26M	1,000,000+	Free	0	Everyone	Simulation	June 18, 2018	1.4.5	4.0 and up
Eh Volevi!	FAMILY	3.9	1619	7.0M	100,000+	Free	0	Everyone	Entertainment	October 7, 2017	1.2.1	4.0 and up
VITEK EH DVR Viewer (Pro)	TOOLS	3.5	78	3.3M	10,000+	Free	0	Everyone	Tools	October 11, 2013	1.2.10	2.2 and up
Eh Bee Wallpapers HD	PERSONALIZATION	5.0	4	3.9M	100+	Free	0	Everyone	Personalization	April 24, 2018	1.0	4.1 and up
EH!	LIFESTYLE	4.6	10	8.7M	1,000+	Free	0	Everyone	Lifestyle	July 18, 2018	7.2.2	4.1 and up
Me-eh	FAMILY		13	62M	100+	Free	0	Everyone	Puzzle	April 6, 2018	3.33	4.1 and up
Arogyam EH	MEDICAL	3.6	18	3.5M	1,000+	Free	0	Everyone	Medical	May 12, 2018	1.9	4.0.3 and up
Betul Ke Bohong Eh?	GAME	4.2	601	6.4M	100,000+	Free	0	Everyone	Trivia	April 3, 2015	1.0.1	2.3 and up
EH National Mobile Banking	FINANCE		0	Varies with device	50+	Free	0	Everyone	Finance	October 12, 2017	5.2.12	4.2 and up
EH Autolink	BUSINESS		1	921k	100+	Free	0	Everyone	Business	March 11, 2016	1.0	3.0 and up
Eh Amego!	GAME	3.8	13388	7.1M	500,000+	Free	0	Everyone	Arcade	August 24, 2015	2.0.5	2.2 and up
Eh Plus English Application	FAMILY		1	874k	100+	Free	0	Everyone	Education	May 27, 2015	1.1	4.0 and up
EH kontrollrakendus	TOOLS	3.4	43	2.3M	5,000+	Free	0	Everyone	Tools	October 10, 2017	3.1.8	4.1 and up
Fit the Fat 2	SPORTS	3.8	35746	55M	5,000,000+	Free	0	Everyone	Sports	December 15, 2017	1.4.3	4.0.3 and up
My Theme Park: RollerCoaster & Water Park Tycoon	FAMILY	4.2	128	41M	10,000+	Free	0	Everyone 10+	Strategy	June 12, 2018	1.50	4.2 and up
Doomsday Preppers 	FAMILY	4.2	137167	52M	1,000,000+	Free	0	Everyone	Strategy	January 17, 2017	130.48.08	4.0.3 and up
TAXI DRIVER	FAMILY	3.7	7203	32M	1,000,000+	Free	0	Everyone	Simulation	January 11, 2016	1.0	4.0 and up
Crazy Doctor	FAMILY	4.0	267636	13M	10,000,000+	Free	0	Teen	Role Playing	March 3, 2014	1.5	2.1 and up
MazeMilitia Classic Multiplayer Shooting Game	GAME	4.4	1294	44M	50,000+	Free	0	Mature 17+	Action	March 8, 2018	1.2	4.1 and up
Endress+Hauser Operations	BUSINESS	4.5	234	3.4M	10,000+	Free	0	Everyone	Business	April 16, 2018	2.4.3.1523	4.0 and up
ZOMBIE RIPPER	GAME	3.7	16073	94M	500,000+	Free	0	Mature 17+	Action	November 14, 2017	1.4	4.0 and up
Soldiers of Glory: Modern War	FAMILY	4.2	64815	23M	5,000,000+	Free	0	Teen	Strategy	June 1, 2018	1.7.5	2.3 and up
Driving School 3D 2017	FAMILY	3.9	5075	48M	500,000+	Free	0	Everyone	Simulation	April 4, 2017	2.1.5	3.0 and up
Retro Camera	PHOTOGRAPHY	4.0	125616	Varies with device	10,000,000+	Free	0	Everyone	Photography	March 10, 2017	Varies with device	2.3.3 and up
Horror Hospital	GAME	3.7	63986	26M	1,000,000+	Free	0	Teen	Action	October 10, 2017	6.0	2.3 and up
Ludo Family Dice Game	FAMILY	4.2	3593	19M	500,000+	Free	0	Everyone	Board;Brain Games	March 7, 2018	1.4	4.1 and up
Mad Skills Motocross	GAME	4.0	32522	44M	1,000,000+	Free	0	Everyone	Racing	January 25, 2016	1.2.0	2.0 and up
Masterchef Cooking Games: Fun Restaurant & Kitchen	FAMILY	3.9	1036	33M	100,000+	Free	0	Everyone	Casual	July 6, 2018	2.6	2.3 and up
US Army Training Courses Game	FAMILY	4.1	27130	35M	5,000,000+	Free	0	Everyone	Simulation	December 8, 2017	1.4	2.3 and up
Pineapple Pen	GAME	4.3	157264	65M	10,000,000+	Free	0	Everyone	Arcade	December 30, 2016	1.31	4.0.3 and up
Instant Buttons: The Best Soundboard	FAMILY	4.5	157322	9.2M	5,000,000+	Free	0	Teen	Entertainment	January 5, 2018	1.0.15	4.1 and up
Guess The Emoji	GAME	4.5	76627	23M	5,000,000+	Free	0	Everyone	Word	July 3, 2018	8.16g	4.2 and up
Camping RV Caravan Parking 3D	GAME	3.3	5290	48M	500,000+	Free	0	Everyone	Racing	December 18, 2014	1.3	2.3 and up
Grand Bat Superhero Flying Assault Rescue Mission	GAME	4.4	1094	37M	500,000+	Free	0	Teen	Action	July 9, 2018	1.1	4.1 and up
Zombie Frontier	GAME	4.2	326689	20M	10,000,000+	Free	0	Teen	Action	May 30, 2018	1.31	4.2 and up
eHub	BUSINESS	4.2	6969	4.8M	100,000+	Free	0	Everyone	Business	June 29, 2018	3.9.11	4.4 and up
Voice Changer	FAMILY	4.1	138050	5.7M	10,000,000+	Free	0	Everyone	Entertainment;Music & Video	April 19, 2018	2.4	4.0.3 and up
Heart Surgery Emergency Doctor	FAMILY	4.1	2248	29M	100,000+	Free	0	Teen	Educational	April 28, 2017	1.3	4.0 and up
RUN JUMP RUN-fun games for free	GAME	4.4	661	42M	100,000+	Free	0	Everyone	Action	April 20, 2018	1.5.2	3.0 and up
100 Doors of Revenge	FAMILY	4.1	105766	48M	10,000,000+	Free	0	Teen	Puzzle	May 24, 2018	2.2.2	4.4 and up
Lie Detector Prank	FAMILY	3.9	80313	3.7M	10,000,000+	Free	0	Everyone	Casual	November 22, 2017	1.7	2.3 and up
Virtual Mother Surgery Doctor : Emergency Hospital	FAMILY	3.9	70	61M	10,000+	Free	0	Teen	Educational	May 30, 2018	1.1	4.0 and up
Princess Palace: Royal Pony	FAMILY	4.4	11442	66M	1,000,000+	Free	0	Everyone	Educational;Creativity	June 30, 2016	1.4	2.3 and up
EI Mobile	FINANCE	3.8	4231	82M	100,000+	Free	0	Everyone	Finance	July 19, 2018	4.3.0	4.2 and up
TAMAGO	FAMILY	3.0	42515	1.6M	5,000,000+	Free	0	Everyone	Casual	May 23, 2018	1.0.3	2.3.3 and up
Ei Electronics AudioLINK	TOOLS	3.4	59	1.8M	10,000+	Free	0	Everyone	Tools	October 19, 2017	2.3.1	4.0 and up
Ei Samay - Bengali News Paper	NEWS_AND_MAGAZINES	4.3	20620	Varies with device	1,000,000+	Free	0	Everyone	News & Magazines	July 17, 2018	Varies with device	Varies with device
Vital Tones EI Pro	HEALTH_AND_FITNESS		2	85M	50+	Paid	$9.99	Everyone	Health & Fitness	December 1, 2017	1.4	4.0 and up
EI HabitTracker	FAMILY		2	981k	100+	Free	0	Everyone	Education	August 17, 2017	1.40.170809	4.0.3 and up
NEMA ei	BUSINESS	5.0	4	12M	100+	Free	0	Everyone	Business	November 6, 2017	1.0.4	4.4 and up
ei	COMMUNICATION		2	4.5M	10+	Free	0	Teen	Communication	July 16, 2018	0.0.10	4.4 and up
the Egg - crack the egg	FAMILY	4.1	211	14M	10,000+	Free	0	Everyone	Casual	November 21, 2016	1.1.0	2.3 and up
Yeled EI	FAMILY		0	15M	100+	Free	0	Everyone	Education	April 26, 2018	0.62	4.1 and up
EI SmartMiles	FINANCE	2.4	9	3.8M	1,000+	Free	0	Everyone	Finance	January 21, 2018	1.0.0	4.0 and up
Code on the egg	TOOLS	3.9	146	784k	10,000+	Free	0	Everyone	Tools	April 10, 2017	1.15	2.2 and up
Sensenuts eI	BUSINESS		0	Varies with device	5+	Free	0	Everyone	Business	August 2, 2018	Varies with device	Varies with device
EI!	PRODUCTIVITY		0	7.7M	10+	Free	0	Everyone	Productivity	July 19, 2018	1.1.14	4.1 and up
EI App 1	FAMILY		0	13M	10+	Free	0	Everyone	Education	November 23, 2017	1.0.4	4.1 and up
EI Calculator	TOOLS	4.0	8	1.5M	100+	Free	0	Everyone	Tools	May 23, 2016	1.3	1.6 and up
Verdant EI	TOOLS		0	13M	50+	Free	0	Everyone	Tools	November 6, 2017	1.1.4	4.1 and up
Tamago egg	GAME	3.0	49	7.1M	5,000+	Free	0	Everyone	Trivia	October 31, 2017	1.0.1	2.3.3 and up
Ei-ij Spelling Dutch	FAMILY		20	3.2M	10,000+	Free	0	Everyone	Education	December 12, 2017	2.1	4.0 and up
Esporte Interativo - Not cias e Resultados Ao Vivo	SPORTS	4.4	4600	21M	500,000+	Free	0	Everyone	Sports	January 14, 2018	6.2.6	4.1 and up
Let's Poke The Egg	GAME	3.4	9051	23M	1,000,000+	Free	0	Everyone	Arcade	February 4, 2017	1.2	2.3 and up
Egg	FAMILY	2.9	72	27M	5,000+	Free	0	Mature 17+	Simulation	June 9, 2018	1.2.2	2.3 and up
ei Calc	TOOLS	5.0	2	19M	10+	Free	0	Everyone	Tools	October 12, 2015	1.2.2	2.3 and up
Disaster Will Strike	FAMILY	4.5	14692	45M	1,000,000+	Free	0	Everyone	Puzzle	July 19, 2018	1.173.126	4.1 and up
Egg: clicker	FAMILY	3.7	40678	15M	1,000,000+	Free	0	Everyone	Casual	May 22, 2017	2.1.3	4.0 and up
Egg for Pou	FAMILY	3.0	59096	Varies with device	5,000,000+	Free	0	Everyone	Casual	September 14, 2017	Varies with device	4.0.3 and up
EI App 2	FAMILY		0	13M	10+	Free	0	Everyone	Education	November 23, 2017	1.0.4	4.1 and up
Survival: Prison Escape	GAME	4.0	127810	33M	10,000,000+	Free	0	Mature 17+	Action	August 1, 2018	1.8.8	4.4 and up
Crack the blue angry birds egg	FAMILY	3.2	85	2.1M	10,000+	Free	0	Everyone	Puzzle	April 22, 2016	1.0.0	2.1 and up
Tamago Tap Clicker Egg	FAMILY	3.6	209	16M	50,000+	Free	0	Everyone	Casual	October 19, 2016	1.1	2.3 and up
Tap The Easter Egg!	FAMILY	3.2	111	3.3M	5,000+	Free	0	Everyone	Casual	March 18, 2016	1.7	2.3 and up
Esporte Interativo Plus	SPORTS	3.7	27179	20M	1,000,000+	Free	0	Everyone	Sports	July 30, 2018	5.12.1	4.1 and up
EI  	FAMILY	4.7	15	5.2M	1,000+	Free	0	Everyone	Education	September 9, 2016	1.0.4	4.0 and up
Egg Baby	FAMILY	4.4	351607	8.7M	5,000,000+	Free	0	Everyone 10+	Casual	June 29, 2016	1.26.03	2.3.3 and up
Surprise Eggs	FAMILY	3.9	81543	Varies with device	10,000,000+	Free	0	Everyone	Casual;Pretend Play	July 19, 2018	Varies with device	Varies with device
PJ Masks: Moonlight Heroes	FAMILY	4.4	87045	99M	10,000,000+	Free	0	Everyone	Casual;Action & Adventure	June 5, 2018	2.0.1	4.0.3 and up
Crack Attack	FAMILY	4.3	31970	77M	1,000,000+	Free	0	Everyone	Puzzle	June 7, 2017	1.8	Varies with device
Aaj Bangla: ei samay er khobor	NEWS_AND_MAGAZINES	4.9	34	3.8M	1,000+	Free	0	Everyone	News & Magazines	January 15, 2017	6.7	2.3 and up
Break the Egg	FAMILY	2.6	366	6.0M	50,000+	Free	0	Everyone	Entertainment	January 5, 2018	1.0	4.0 and up
Kolkata News:Anandbazar Patrika,ei samay&AllRating	NEWS_AND_MAGAZINES	5.0	10	5.0M	100+	Free	0	Everyone	News & Magazines	July 14, 2018	1.0	4.0.3 and up
PJ Masks: HQ	FAMILY	4.1	13731	55M	1,000,000+	Free	0	Everyone	Entertainment;Action & Adventure	June 22, 2018	1.2.1	4.0 and up
Ei Somoy & Dainik Sangbad & Statesman (PDF)	NEWS_AND_MAGAZINES	4.0	4	5.3M	100+	Free	0	Everyone	News & Magazines	July 25, 2018	25072018	4.0 and up
TAMAGO Monsters Returns	GAME	4.1	104583	37M	1,000,000+	Free	0	Everyone	Arcade	August 18, 2016	3.45	2.3 and up
EJ.by	NEWS_AND_MAGAZINES		10	2.3M	500+	Free	0	Everyone	News & Magazines	October 27, 2015	1.2	4.0.3 and up
EJ Elite Prospects League	SPORTS	3.3	3	12M	1,000+	Free	0	Everyone	Sports	February 23, 2018	5.5.4	4.1 and up
Super Sport Car Simulator	FAMILY	4.2	58553	50M	1,000,000+	Free	0	Everyone	Simulation	December 25, 2016	3.1	2.3.3 and up
EJ Insight	NEWS_AND_MAGAZINES	4.0	33	280k	1,000+	Free	0	Everyone	News & Magazines	September 30, 2014	1.0	4.0 and up
Ambulance Rescue Simulator 17	FAMILY	4.3	6669	31M	1,000,000+	Free	0	Everyone	Simulation	March 1, 2018	1.0.8	2.3 and up
EJ Tr via Game	FAMILY		1	19M	1+	Free	0	Everyone	Puzzle	July 19, 2018	1.0	4.1 and up
Bad Piggies HD	FAMILY	4.4	764967	69M	10,000,000+	Free	0	Everyone	Puzzle	July 5, 2018	2.3.4	4.1 and up
EJ messenger	COMMUNICATION	5.0	1	25M	10+	Free	0	Teen	Communication	October 18, 2017	1.0	4.0 and up
Traffic Sniper Counter Attack	GAME	4.3	5339	38M	1,000,000+	Free	0	Teen	Action	December 5, 2017	1.0	2.3 and up
Rope Superhero Unlimited	GAME	4.4	6735	26M	1,000,000+	Free	0	Mature 17+	Action	May 10, 2017	1.1	2.3 and up
Painel EJ SSH - INTERNET GR TIS	TOOLS		10	13M	50+	Free	0	Everyone	Tools	July 30, 2018	5.1	4.1 and up
EJ Ecuador	LIFESTYLE		9	6.8M	100+	Free	0	Teen	Lifestyle	November 22, 2016	3.0.16	4.0 and up
Ej-buy	BUSINESS		2	4.1M	5+	Free	0	Everyone	Business	August 2, 2018	1.2.0	4.1 and up
Extreme Super Car Driving 3D	GAME	3.9	23104	48M	1,000,000+	Free	0	Everyone	Racing	August 5, 2015	2.2	2.3.3 and up
Footej Camera	PHOTOGRAPHY	4.3	13258	Varies with device	1,000,000+	Free	0	Everyone	Photography	June 20, 2018	2.3.0 build 180	5.0 and up
Sport Car Simulator	FAMILY	4.0	48731	68M	5,000,000+	Free	0	Everyone	Simulation	April 19, 2018	4.0.5	4.1 and up
Fast Racing Car Simulator	GAME	3.8	8482	45M	1,000,000+	Free	0	Everyone	Racing	August 10, 2015	1.3	2.3.3 and up
Silence Premium Do Not Disturb	TOOLS	4.5	3356	Varies with device	10,000+	Paid	$2.95	Everyone	Tools	February 17, 2018	Varies with device	Varies with device
            EJ STYLE           	SHOPPING		1	9.3M	100+	Free	0	Everyone	Shopping	November 16, 2017	3.0	4.0.3 and up
Beach Head Shooting Assault	GAME	3.8	555	44M	100,000+	Free	0	Teen	Action	March 2, 2018	1.0	4.0 and up
Stickman Warriors Heroes 2	GAME	4.4	13714	41M	1,000,000+	Free	0	Everyone 10+	Action	April 15, 2017	1.0.4	4.0.3 and up
Dead Target Zombie Shooting US Sniper Killer Squad	GAME	4.3	240	65M	50,000+	Free	0	Teen	Action	October 3, 2017	1.0.2	4.0 and up
Learn Music Notes	FAMILY	4.7	143	4.4M	1,000+	Paid	$1.99	Everyone	Music;Music & Video	June 17, 2018	1.2.1	2.2 and up
Luxury Car Simulator	FAMILY	3.9	35989	46M	1,000,000+	Free	0	Everyone	Simulation	August 7, 2015	2.3	2.3.3 and up
Dubai Racing	GAME	4.2	16237	23M	500,000+	Free	0	Everyone	Racing	December 23, 2015	1.9.1	2.3 and up
Office Bike Racing Simulator	FAMILY	3.8	21149	30M	1,000,000+	Free	0	Everyone	Simulation	October 9, 2015	2.1	2.3 and up
Pregnant Mom Surgery Newborn Twins Baby Birth Care	FAMILY	4.3	95	28M	10,000+	Free	0	Teen	Educational	February 24, 2018	1.0	4.1 and up
Pet Beauty Salon	FAMILY	3.8	20292	47M	1,000,000+	Free	0	Everyone	Educational;Creativity	May 24, 2015	1.2	2.3 and up
Booking Revolution	SPORTS	4.2	140883	59M	5,000,000+	Free	0	Teen	Sports	July 21, 2018	1.932	4.0 and up
Nights Keeper (do not disturb)	LIFESTYLE	4.5	16426	1.6M	500,000+	Free	0	Everyone	Lifestyle	February 26, 2017	2.7.8	2.2 and up
Farming Simulator 16	FAMILY	4.2	32812	14M	500,000+	Paid	$2.99	Everyone	Simulation;Education	April 10, 2018	1.1.1.6	4.0.3 and up
Lily & Leo - Crazy Circus Day	FAMILY	3.6	8091	43M	1,000,000+	Free	0	Everyone	Casual;Pretend Play	June 5, 2018	1.0.8	4.1 and up
WIZARD Card Game	GAME	4.0	48	4.1M	1,000+	Paid	$1.99	Everyone	Card	December 15, 2014	1.0.141215	2.1 and up
Period Tracker, Pregnancy Calculator & Calendar  	HEALTH_AND_FITNESS		0	Varies with device	10,000+	Free	0	Everyone	Health & Fitness	August 1, 2018	Varies with device	Varies with device
Fake Call From Wengie Prank	FAMILY	3.5	352	3.8M	50,000+	Free	0	Everyone	Entertainment	July 23, 2017	1.0	3.0 and up
Robot Fighting Games  - Real Boxing Champions 3D	GAME	4.4	30	47M	5,000+	Free	0	Everyone	Action	July 2, 2018	1.1	4.1 and up
Ghost Hunting camera	GAME	3.5	3048	24M	500,000+	Free	0	Teen	Action	March 6, 2017	1.1	2.3 and up
Santa Panda Bubble Christmas	GAME	4.1	101	31M	10,000+	Free	0	Everyone	Arcade	March 14, 2017	1.5	4.0 and up
TeamWard   live help for LoL	FAMILY	4.8	3136	2.7M	100,000+	Free	0	Everyone	Entertainment	June 27, 2018	2.19.6	4.0.3 and up
3D Metal Piano Keys Keyboard Theme	FOOD_AND_DRINK	4.4	467	7.3M	100,000+	Free	0	Everyone	Food & Drink	July 1, 2018	6.7.1	4.0.3 and up
OffRoad US Army Train Driving Simulator	FAMILY	4.3	1216	59M	500,000+	Free	0	Everyone 10+	Simulation	June 11, 2018	1.3	4.1 and up
Do Not Disturb! 2 - Challenge Your Prank Skills!	FAMILY	4.0	34417	48M	1,000,000+	Free	0	Everyone	Educational	August 6, 2018	1.0.9	4.1 and up
WiFi Tether Router	COMMUNICATION	4.2	5599	1.3M	100,000+	Paid	$2.90	Everyone	Communication	July 2, 2018	6.2.7	1.6 and up
Local weather Forecast	WEATHER	4.4	5482	12M	1,000,000+	Free	0	Everyone	Weather	August 7, 2018	2.42	4.0.3 and up
Kiss Me! Lip Kissing Test	FAMILY	3.5	191	5.0M	50,000+	Free	0	Everyone	Entertainment	May 18, 2018	5.0	4.1 and up
Smoke Effect Name Art Maker-Avatar Text Art Editor	PERSONALIZATION	4.3	1961	6.6M	100,000+	Free	0	Everyone	Personalization	June 29, 2018	1.0	4.1 and up
The Emirates App	TRAVEL_AND_LOCAL	4.4	22776	55M	1,000,000+	Free	0	Everyone	Travel & Local	August 6, 2018	4.7.1	5.0 and up
ek tuhi	VIDEO_PLAYERS	4.7	316	2.8M	10,000+	Free	0	Everyone	Video Players & Editors	July 4, 2014	1.0	4.0 and up
Master E.K	FAMILY	5.0	90	Varies with device	1,000+	Free	0	Everyone	Education	August 11, 2017	1.5.0	4.4 and up
EK Platinum	LIFESTYLE	3.8	52	10M	10,000+	Free	0	Everyone	Lifestyle	December 26, 2017	1.0.6®	4.0 and up
EK Bailey Preaching Conference	EVENTS	5.0	3	30M	500+	Free	0	Everyone	Events	July 2, 2018	5.30.01	5.1 and up
Ek Maratha	SOCIAL	4.8	725	3.7M	10,000+	Free	0	Teen	Social	October 12, 2016	7.5.3	2.2 and up
Ek Onkar	FAMILY	4.9	107	18M	10,000+	Free	0	Everyone	Entertainment	April 3, 2016	1.3	4.0 and up
Racing Moto	GAME	4.3	697805	7.4M	50,000,000+	Free	0	Everyone	Racing	July 3, 2018	1.2.13	3.0 and up
Pyaar Ek Dhoka hai Game - Anti Valentines	FAMILY		8	17M	100+	Free	0	Everyone	Casual	February 11, 2018	3	4.1 and up
Pyaar Ek Dhoka	FAMILY	5.0	18	1.3M	50+	Free	0	Everyone	Casual	February 13, 2018	1.0	4.3 and up
Ek Biladi Jadi Video Song	FAMILY		3	3.7M	5,000+	Free	0	Everyone	Entertainment	October 20, 2016	4.1	4.0 and up
Duaa Ek Ibaadat	BOOKS_AND_REFERENCE	4.9	122	26M	5,000+	Free	0	Everyone	Books & Reference	April 10, 2016	1.5	2.2 and up
Ek Onkar Mantras	LIFESTYLE	4.9	82	5.0M	5,000+	Free	0	Everyone	Lifestyle	August 7, 2016	1.0	4.1 and up
Alex Fuel Calculator for EK	TOOLS	4.9	19	3.3M	500+	Free	0	Everyone	Tools	June 15, 2018	1.8	2.1 and up
Ringtones Of Ek Onkar	FAMILY	4.5	6	3.9M	1,000+	Free	0	Everyone	Entertainment	May 31, 2017	1.0	4.0.3 and up
EK Carevec	FAMILY		1	29M	10+	Free	0	Teen	Entertainment	July 17, 2018	2.177.5489	4.3 and up
Ek Kahani Aisi Bhi Season 2 - The Horror Story	FAMILY	4.5	28	5.6M	1,000+	Free	0	Teen	Entertainment	July 20, 2018	1.3	5.0 and up
Ek Bander Ne Kholi Dukan	FAMILY	5.0	10	3.0M	10,000+	Free	0	Everyone	Entertainment	June 26, 2017	1.0.9	4.0 and up
Hum Ek Hain 2.02	SOCIAL	5.0	2	1.8M	10+	Free	0	Teen	Social	March 18, 2018	1.0	5.0 and up
Ek Kahani Aisi Bhi Season 3 - The Horror Story	FAMILY	3.0	1	5.8M	100+	Free	0	Teen	Entertainment	July 21, 2018	1.1	5.0 and up
Ek IRA	COMMUNICATION		0	5.7M	10+	Free	0	Everyone	Communication	July 27, 2018	0.3.1	4.1 and up
Sanu Ek Pal Chain - Raid	TOOLS		1	2.6M	500+	Free	0	Everyone	Tools	May 12, 2018	2.0	4.4W and up
